px py yaw vaim_x vaim_y vset_x vset_y min_dist
1.88446 -0.228539 1.58654 1.36571 0.0714452 0.245344 -0.0165797 0.232821
1.88521 -0.215346 1.60049 1.36775 0.0841609 0.248229 -0.00769679 0.228305
1.88627 -0.202747 1.60753 1.36775 0.0841609 0.248229 -0.00769679 0.224794
1.88727 -0.190272 1.61563 1.3666 0.101164 0.276099 0.00479956 0.224794
1.88775 -0.176602 1.62665 1.35987 0.115307 0.278953 0.0112774 0.222771
1.88747 -0.162058 1.6357 1.35987 0.115307 0.278953 0.0112774 0.220397
1.88713 -0.146933 1.64678 1.37174 0.124629 0.273064 0.00826304 0.220397
1.88656 -0.132597 1.65699 1.37024 0.140226 0.295226 0.0158424 0.219746
1.88557 -0.117624 1.67328 1.384 0.151224 0.352238 0.0359164 0.219746
1.88403 -0.101234 1.67658 1.384 0.151224 0.352238 0.0359164 0.219746
1.88175 -0.082738 1.68349 1.36788 0.149789 0.352238 0.0359164 0.213996
1.87917 -0.0644832 1.69672 1.37978 0.110755 0.466463 0.0453559 0.224822
1.87578 -0.042723 1.70501 1.37978 0.110755 0.466463 0.0453559 0.224822
1.87202 -0.0187274 1.71489 1.36337 0.145768 0.535395 0.141424 0.22891
1.86585 0.00712659 1.72365 1.36447 0.135055 0.582815 0.147299 0.241565
1.85737 0.0344054 1.73168 1.38532 0.138186 0.582815 0.147299 0.241565
1.84777 0.0637209 1.74144 1.38538 0.137543 0.57893 0.124264 0.251435
1.83793 0.0930732 1.75264 1.38807 0.107066 0.589171 0.0554236 0.269063
1.82898 0.123201 1.76194 1.38712 0.107731 0.589171 0.0554236 0.269063
1.82248 0.153415 1.77189 1.38791 0.0969505 0.582078 -0.00746507 0.293403
1.81718 0.183451 1.78251 1.37058 0.0794191 0.54113 -0.0157701 0.307316
1.81388 0.212737 1.78875 1.37058 0.0794191 0.54113 -0.0157701 0.298597
1.81027 0.24042 1.79901 1.35906 0.0728961 0.510313 -0.0361123 0.298597
1.80671 0.267636 1.80973 1.35931 0.0679678 0.472323 -0.0249463 0.291492
1.80359 0.292807 1.81888 1.36386 0.077829 0.472323 -0.0249463 0.286533
1.8 0.316861 1.82978 1.36364 0.0816404 0.422603 -0.00157485 0.286533
1.79608 0.33967 1.84306 1.36315 0.0894861 0.389393 0.00823937 0.280577
1.79134 0.359946 1.85374 1.35836 0.100089 0.389393 0.00823937 0.268695
1.78637 0.379553 1.86534 1.35876 0.0944744 0.362762 0.00516259 0.268695
1.78155 0.398424 1.87786 1.3824 0.149017 0.335805 0.00635209 0.258664
1.7769 0.416014 1.89726 1.38465 0.126446 0.300708 0.00879126 0.25011
1.77247 0.431742 1.91778 1.33619 0.101376 0.300708 0.00879126 0.25011
1.7681 0.446123 1.93575 1.33771 0.0787489 0.276244 -0.0043125 0.247072
1.76321 0.460287 1.95111 1.33878 0.0577589 0.255714 -0.0125982 0.242185
1.75927 0.473833 1.97415 1.34921 0.0800608 0.255714 -0.0125982 0.242185
1.7558 0.487027 1.99493 1.35007 0.0638501 0.251649 -0.0147507 0.23795
1.75214 0.499597 2.01842 1.35006 0.0605045 0.266942 -0.0423579 0.232252
1.74825 0.512785 2.04164 1.35006 0.0605045 0.266942 -0.0423579 0.232252
1.74433 0.52676 2.06287 1.35066 0.0451948 0.244658 -0.0362187 0.227161
1.74061 0.540328 2.08258 1.35101 0.0333587 0.272064 -0.0669665 0.220163
1.73705 0.553505 2.10523 1.35101 0.0333587 0.272064 -0.0669665 0.220163
1.73333 0.567627 2.12752 1.3282 -0.0157247 0.314832 -0.108627 0.215558
1.73001 0.583684 2.14828 1.32803 -0.0264764 0.358026 -0.142516 0.212714
1.72628 0.602366 2.16592 1.29635 -0.0548952 0.358026 -0.142516 0.213872
1.7223 0.622379 2.18617 1.29623 -0.0575901 0.53288 -0.222296 0.213872
1.71762 0.647748 2.20051 1.33279 -0.021814 0.763375 -0.298557 0.216639
1.71057 0.68128 2.21962 1.33279 -0.021814 0.763375 -0.298557 0.227022
1.70079 0.72015 2.23658 1.34032 0.00696031 0.738438 -0.23374 0.227022
